title,Genre,rating,year
Death and the Maiden,Drama,3.43,1994
Dolores Claiborne,Drama,3.4,1995
Dumb & Dumber (Dumb and Dumber),Adventure,3.06,1994
Eat Drink Man Woman (Yin shi nan nu),Comedy,3.89,1994
Exotica,Drama,3.5,1994
Exit to Eden,Comedy,2.59,1994
Ed Wood,Comedy,3.68,1994
French Kiss,Action,3.48,1995
Forget Paris,Comedy,3.34,1995
Far From Home: The Adventures of Yellow Dog,Adventure,4.0,1995
"Goofy Movie, A",Animation,3.0,1995
Hideaway,Thriller,2.38,1995
Fluke,Children,4.0,1995
Farinelli: il castrato,Drama,3.6,1994
Gordy,Children,3.0,1995
Hoop Dreams,Documentary,4.29,1994
Heavenly Creatures,Crime,3.93,1994
Houseguest,Comedy,3.18,1994
Immortal Beloved,Drama,3.72,1994
Heavyweights (Heavy Weights),Children,2.5,1995
"Hunted, The",Action,3.0,1995
I.Q.,Comedy,3.45,1994
Interview with the Vampire: The Vampire Chronicles,Drama,3.46,1994
Jefferson in Paris,Drama,3.0,1995
"Jerky Boys, The",Comedy,2.07,1995
Junior,Comedy,2.83,1994
Just Cause,Mystery,3.5,1995
"Kid in King Arthur's Court, A",Adventure,2.6,1995
Kiss of Death,Crime,3.2,1995
Star Wars: Episode IV - A New Hope,Action,4.23,1977
Little Women,Drama,3.88,1994
"Little Princess, A",Children,3.9,1995
Ladybird Ladybird,Drama,4.0,1994
Like Water for Chocolate (Como agua para chocolate),Drama,3.94,1992
Legends of the Fall,Drama,3.4,1994
Major Payne,Comedy,2.94,1995
My Crazy Life (Mi vida loca),Drama,3.0,1993
Love Affair,Drama,3.4,1994
Losing Isaiah,Drama,3.5,1995
"Madness of King George, The",Comedy,3.76,1994
Mary Shelley's Frankenstein (Frankenstein),Drama,2.95,1994
Man of the House,Comedy,2.93,1995
Mixed Nuts,Comedy,2.0,1994
Milk Money,Comedy,3.25,1994
Miracle on 34th Street,Drama,3.22,1994
Miami Rhapsody,Comedy,1.5,1995
My Family,Drama,3.0,1995
Murder in the First,Drama,4.08,1995
Nobody's Fool,Comedy,3.79,1994
Nell,Drama,3.34,1994
New Jersey Drive,Crime,3.67,1995
New York Cop (Nyû Yôku no koppu),Action,4.5,1993
Beyond Bedlam,Drama,4.0,1993
Nina Takes a Lover,Comedy,3.0,1994
Natural Born Killers,Action,3.23,1994
Only You,Comedy,3.56,1994
Once Were Warriors,Crime,4.04,1994
Poison Ivy II,Drama,2.33,1996
Outbreak,Action,3.43,1995
Léon: The Professional (a.k.a. The Professional) (Léon),Action,4.02,1994
"Perez Family, The",Comedy,3.0,1995
"Pyromaniac's Love Story, A",Comedy,3.0,1995
Pulp Fiction,Comedy,4.2,1994
Pushing Hands (Tui shou),Drama,2.0,1992
Priest,Drama,4.0,1994
Quiz Show,Drama,3.52,1994
Picture Bride (Bijo photo),Drama,4.0,1994
"Queen Margot (Reine Margot, La)",Drama,3.2,1994
"Quick and the Dead, The",Action,2.95,1995
Roommates,Comedy,3.67,1995
Ready to Wear (Pret-A-Porter),Comedy,2.83,1994
Three Colors: Red (Trois couleurs: Rouge),Drama,4.22,1994
Three Colors: Blue (Trois couleurs: Bleu),Drama,3.9,1993
Three Colors: White (Trzy kolory: Bialy),Comedy,4.03,1994
Rent-a-Kid,Comedy,3.0,1995
Relative Fear,Horror,3.0,1994
Stuart Saves His Family,Comedy,1.44,1995
"Swan Princess, The",Animation,3.33,1994
"Secret of Roan Inish, The",Children,3.75,1994
"Specialist, The",Action,3.08,1994
Stargate,Action,3.38,1994
"Santa Clause, The",Comedy,3.2,1994
"Shawshank Redemption, The",Crime,4.43,1994
Shallow Grave,Comedy,3.6,1994
Suture,Film-Noir,3.0,1993
Strawberry and Chocolate (Fresa y chocolate),Drama,4.0,1993
Swimming with Sharks,Comedy,3.55,1995
"Sum of Us, The",Comedy,4.0,1994
National Lampoon's Senior Trip,Comedy,2.5,1995
To Live (Huozhe),Drama,4.0,1994
Tank Girl,Action,2.82,1995
Tales from the Crypt Presents: Demon Knight,Horror,3.15,1995
Star Trek: Generations,Adventure,3.39,1994
Tales from the Hood,Action,3.0,1995
Tom & Viv,Drama,3.0,1994
Village of the Damned,Horror,2.83,1995
Tommy Boy,Comedy,3.78,1995
Vanya on 42nd Street,Drama,4.2,1994
Underneath,Mystery,3.5,1995
"Walking Dead, The",Drama,3.0,1995
What's Eating Gilbert Grape,Drama,3.77,1993
Virtuosity,Action,2.84,1995
While You Were Sleeping,Comedy,3.47,1995
"War, The",Adventure,3.4,1994
Double Happiness,Drama,4.0,1994
Muriel's Wedding,Comedy,3.27,1994
"Baby-Sitters Club, The",Children,2.9,1995
Ace Ventura: Pet Detective,Comedy,3.04,1994
"Adventures of Priscilla, Queen of the Desert, The",Comedy,3.6,1994
Backbeat,Drama,3.5,1993
Bitter Moon,Drama,3.5,1992
Bullets Over Broadway,Comedy,3.58,1994
Clear and Present Danger,Action,3.6,1994
"Client, The",Drama,3.39,1994
"Corrina, Corrina",Comedy,3.18,1994
Crooklyn,Comedy,2.5,1994
"Crow, The",Action,3.61,1994
Cobb,Drama,3.33,1994
"Flintstones, The",Children,2.36,1994
Forrest Gump,Comedy,4.16,1994
Four Weddings and a Funeral,Comedy,3.52,1994
Higher Learning,Drama,2.67,1995
I Like It Like That,Comedy,3.0,1994
I Love Trouble,Action,2.69,1994
It Could Happen to You,Comedy,3.06,1994
"Jungle Book, The",Adventure,3.53,1994
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Documentary,4.0,1993
"Lion King, The",Adventure,3.94,1994
Little Buddha,Drama,3.25,1993
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",Drama,2.92,1994
"Mask, The",Action,3.18,1994
Maverick,Adventure,3.5,1994
Mrs. Parker and the Vicious Circle,Drama,4.0,1994
Naked Gun 33 1/3: The Final Insult,Action,3.06,1994
"Paper, The",Comedy,3.31,1994
Reality Bites,Comedy,2.76,1994
Red Rock West,Thriller,3.64,1992
Richie Rich,Children,2.2,1994
"River Wild, The",Action,3.25,1994
Speed,Action,3.53,1994
Speechless,Comedy,2.79,1994
Timecop,Action,2.5,1994
True Lies,Action,3.5,1994
When a Man Loves a Woman,Drama,3.82,1994
Wolf,Drama,3.16,1994
Wyatt Earp,Western,3.1,1994
Bad Company,Action,3.25,1995
"Man of No Importance, A",Drama,4.0,1994
S.F.W.,Drama,3.0,1994
"Low Down Dirty Shame, A",Action,2.38,1994
Boys Life,Drama,3.0,1995
"Colonel Chabert, Le",Drama,4.5,1994
Faster Pussycat! Kill! Kill!,Action,3.7,1965
Jason's Lyric,Crime,4.5,1994
Street Fighter,Action,2.5,1994
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),Action,2.42,1994
Federal Hill,Drama,3.0,1994
In the Mouth of Madness,Horror,3.44,1995
8 Seconds,Drama,3.0,1994
Above the Rim,Crime,2.0,1994
Addams Family Values,Children,3.1,1993
"Age of Innocence, The",Drama,3.5,1993
Airheads,Comedy,2.79,1994
"Air Up There, The",Comedy,2.33,1994
Another Stakeout,Comedy,2.53,1993
Bad Girls,Western,2.5,1994
Barcelona,Comedy,3.69,1994
Being Human,Drama,3.0,1993
"Beverly Hillbillies, The",Comedy,2.68,1993
Beverly Hills Cop III,Action,2.72,1994
Black Beauty,Adventure,3.21,1994
Blink,Thriller,3.2,1994
Blown Away,Action,2.85,1994
Blue Chips,Drama,1.83,1994
Blue Sky,Drama,3.75,1994
Body Snatchers,Horror,3.14,1993
Boxing Helena,Drama,2.54,1993
"Bronx Tale, A",Drama,3.72,1993
Cabin Boy,Comedy,2.0,1994
Calendar Girl,Comedy,3.75,1993
Carlito's Way,Crime,3.74,1993
City Slickers II: The Legend of Curly's Gold,Adventure,2.65,1994
Clean Slate,Comedy,2.75,1994
Cliffhanger,Action,3.03,1993
Coneheads,Comedy,2.42,1993
Color of Night,Drama,2.57,1994
Cops and Robbersons,Comedy,2.17,1994
"Cowboy Way, The",Action,2.71,1994
Dave,Comedy,3.55,1993
Dazed and Confused,Comedy,3.93,1993
Demolition Man,Action,3.09,1993
Even Cowgirls Get the Blues,Comedy,2.33,1993
Fatal Instinct,Comedy,3.0,1993
Farewell My Concubine (Ba wang bie ji),Drama,3.83,1993
Fearless,Drama,3.62,1993
Fear of a Black Hat,Comedy,1.0,1994
With Honors,Comedy,3.0,1994
Flesh and Bone,Drama,4.0,1993
Widows' Peak,Drama,3.0,1994
For Love or Money,Comedy,2.8,1993
"Firm, The",Drama,3.53,1993
Free Willy,Adventure,2.39,1993
Fresh,Crime,3.75,1994
"Fugitive, The",Thriller,3.99,1993
Geronimo: An American Legend,Drama,2.8,1993
"Getaway, The",Action,2.25,1994
Getting Even with Dad,Comedy,2.67,1994
Go Fish,Drama,2.75,1994
Hard Target,Action,2.9,1993
Hot Shots! Part Deux,Action,2.87,1993
Live Nude Girls,Comedy,5.0,1995
"Englishman Who Went Up a Hill But Came Down a Mountain, The",Comedy,3.2,1995
"House of the Spirits, The",Drama,3.4,1993
House Party 3,Comedy,1.0,1994
"Hudsucker Proxy, The",Comedy,3.55,1994
I'll Do Anything,Comedy,2.58,1994
In the Army Now,Comedy,1.86,1994
In the Line of Fire,Action,3.69,1993
In the Name of the Father,Drama,4.3,1993
"Inkwell, The",Comedy,1.0,1994
What's Love Got to Do with It?,Drama,3.38,1993
Jimmy Hollywood,Comedy,2.5,1994
Judgment Night,Action,2.25,1993
Jurassic Park,Action,3.75,1993
Kalifornia,Drama,3.16,1993
Killing Zoe,Crime,3.62,1994
Lassie,Adventure,3.0,1994
Last Action Hero,Action,2.93,1993
Life with Mikey,Comedy,3.0,1993
Lightning Jack,Comedy,2.5,1994
M. Butterfly,Drama,3.0,1993
Made in America,Comedy,2.86,1993
Malice,Thriller,3.0,1993
"Man Without a Face, The",Drama,3.29,1993
Manhattan Murder Mystery,Comedy,3.75,1993
Menace II Society,Action,3.67,1993
Executive Decision,Action,3.38,1996
In the Realm of the Senses (Ai no corrida),Drama,5.0,1976
What Happened Was...,Comedy,5.0,1994
Much Ado About Nothing,Comedy,3.81,1993
Mr. Wonderful,Comedy,2.5,1993
Mrs. Doubtfire,Comedy,3.39,1993
Naked,Drama,3.67,1993
"Next Karate Kid, The",Action,2.37,1994
No Escape,Action,3.0,1994
North,Comedy,2.21,1994
Orlando,Drama,4.5,1992
"Perfect World, A",Crime,3.38,1993
Philadelphia,Drama,3.61,1993
"Piano, The",Drama,3.54,1993
Poetic Justice,Drama,3.0,1993
"Program, The",Action,3.0,1993
"Puppet Masters, The",Horror,3.0,1994
Radioland Murders,Comedy,3.38,1994
"Ref, The",Comedy,3.42,1994
"Remains of the Day, The",Drama,3.6,1993
Renaissance Man,Comedy,3.06,1994
Rising Sun,Action,3.28,1993
"Road to Wellville, The",Comedy,2.38,1994
RoboCop 3,Action,2.4,1993
Robin Hood: Men in Tights,Comedy,3.13,1993
Romeo Is Bleeding,Crime,3.17,1993
Romper Stomper,Action,3.29,1992
Ruby in Paradise,Drama,3.5,1993
Rudy,Drama,3.49,1993
"Savage Nights (Nuits fauves, Les)",Drama,4.0,1992
Schindler's List,Drama,4.22,1993
"Scout, The",Comedy,2.33,1994
Searching for Bobby Fischer,Drama,3.88,1993
"Secret Garden, The",Children,3.25,1993
Serial Mom,Comedy,3.0,1994
"Shadow, The",Action,2.89,1994
Shadowlands,Drama,3.61,1993
Short Cuts,Drama,3.27,1993
"Simple Twist of Fate, A",Drama,3.33,1994
Sirens,Drama,3.17,1994
Six Degrees of Separation,Drama,3.58,1993
Sleepless in Seattle,Comedy,3.47,1993
Sliver,Thriller,2.67,1993
Blade Runner,Action,4.1,1982
Son in Law,Comedy,2.79,1993
So I Married an Axe Murderer,Comedy,3.32,1993
Striking Distance,Action,2.44,1993
Super Mario Bros.,Action,2.0,1993
Surviving the Game,Action,3.25,1994
Terminal Velocity,Action,2.75,1994
Thirty-Two Short Films About Glenn Gould,Drama,4.5,1993
Threesome,Comedy,3.4,1994
"Nightmare Before Christmas, The",Animation,3.55,1993
"Three Musketeers, The",Action,3.26,1993
Tombstone,Action,3.82,1993
True Romance,Crime,3.8,1993
"War Room, The",Documentary,3.33,1993
"Pagemaster, The",Action,2.94,1994
Welcome to the Dollhouse,Comedy,3.54,1995
Germinal,Drama,4.0,1993
Chasers,Comedy,1.5,1994
Kika,Comedy,2.0,1993
Bhaji on the Beach,Comedy,3.5,1993
Little Big League,Comedy,2.67,1994
"Ciao, Professore! (Io speriamo che me la cavo)",Drama,3.5,1992
Spanking the Monkey,Comedy,3.25,1994
"Little Rascals, The",Children,2.66,1994
Andre,Adventure,2.12,1994
"Escort, The (Scorta, La)",Crime,3.0,1993
Princess Caraboo,Drama,2.8,1994
"Celluloid Closet, The",Documentary,4.0,1995
Dear Diary (Caro Diario),Comedy,4.0,1994
"Brady Bunch Movie, The",Comedy,2.74,1995
Home Alone,Children,3.0,1990
Ghost,Comedy,3.43,1990
Aladdin,Adventure,3.79,1992
Terminator 2: Judgment Day,Action,3.97,1991
Dances with Wolves,Adventure,3.84,1990
Batman,Action,3.43,1989
"Silence of the Lambs, The",Crime,4.16,1991
Snow White and the Seven Dwarfs,Animation,3.62,1937
Beauty and the Beast,Animation,3.77,1991
Pinocchio,Animation,3.45,1940
Pretty Woman,Comedy,3.49,1990
"Wild Bunch, The",Adventure,3.82,1969
Love and a .45,Action,4.0,1994
"Great Day in Harlem, A",Documentary,4.0,1994
One Fine Day,Drama,3.0,1996
Candyman: Farewell to the Flesh,Fantasy,3.0,1995
Fargo,Comedy,4.12,1996
Homeward Bound II: Lost in San Francisco,Adventure,3.57,1996
Heavy Metal,Action,3.55,1981
Hellraiser: Bloodline,Action,2.42,1996
"Pallbearer, The",Comedy,2.5,1996
Jane Eyre,Drama,3.19,1996
Bread and Chocolate (Pane e cioccolata),Comedy,3.0,1973
"Aristocats, The",Animation,3.41,1970
"Flower of My Secret, The (La flor de mi secreto)",Comedy,2.83,1995
Two Much,Comedy,3.0,1995
Ed,Comedy,2.6,1996
"Thin Line Between Love and Hate, A",Comedy,5.0,1996
"Last Supper, The",Drama,3.33,1995
Primal Fear,Crime,3.64,1996
All Dogs Go to Heaven 2,Adventure,3.18,1996
Land and Freedom (Tierra y libertad),Drama,4.0,1995
Denise Calls Up,Comedy,5.0,1995
Theodore Rex,Comedy,2.25,1995
"Family Thing, A",Comedy,3.0,1996
Frisk,Drama,3.0,1995
Sgt. Bilko,Comedy,3.05,1996
Jack and Sarah,Romance,3.0,1995
Girl 6,Comedy,3.0,1996
Diabolique,Drama,2.68,1996
Nelly & Monsieur Arnaud,Drama,3.5,1995
Courage Under Fire,Action,3.33,1996
Mission: Impossible,Action,3.54,1996
Cold Fever (Á köldum klaka),Comedy,3.0,1995
Moll Flanders,Drama,3.0,1996
Dragonheart,Action,3.09,1996
Eddie,Comedy,3.0,1996
James and the Giant Peach,Adventure,3.45,1996
Fear,Thriller,3.29,1996
Kids in the Hall: Brain Candy,Comedy,3.29,1996
Underground,Comedy,4.33,1995
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),Action,2.81,1996
Song of the Little Road (Pather Panchali),Drama,4.25,1955
"World of Apu, The (Apur Sansar)",Drama,4.75,1959
Mystery Science Theater 3000: The Movie,Comedy,3.49,1996
Space Jam,Adventure,2.71,1996
Barbarella,Adventure,3.17,1968
Some Folks Call It a Sling Blade,Drama,3.83,1993
"Run of the Country, The",Drama,4.0,1995
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",Drama,4.12,1965
It's My Party,Drama,4.0,1996
Operation Dumbo Drop,Action,2.33,1995
Mrs. Winterbourne,Comedy,3.33,1996
Solo,Action,2.0,1996
"Substitute, The",Action,2.95,1996
True Crime,Mystery,4.0,1996
Feeling Minnesota,Drama,2.7,1996
Delta of Venus,Drama,1.0,1995
Angus,Comedy,3.21,1995
Boys,Drama,2.0,1996
"Quest, The",Action,2.57,1996
Sunset Park,Drama,3.0,1996
Mulholland Falls,Crime,2.88,1996
"Truth About Cats & Dogs, The",Comedy,3.39,1996
Oliver & Company,Adventure,3.09,1988
Celtic Pride,Comedy,2.56,1996
Flipper,Adventure,3.05,1996
Dead Man,Drama,3.97,1995
"Horseman on the Roof, The (Hussard sur le toit, Le)",Drama,3.67,1995
"Visitors, The (Visiteurs, Les)",Comedy,4.12,1993
Multiplicity,Comedy,2.84,1996
Wallace & Gromit: The Best of Aardman Animation,Adventure,4.09,1996
"Haunted World of Edward D. Wood Jr., The",Documentary,4.0,1996
"Craft, The",Drama,3.03,1996
"Great White Hype, The",Comedy,2.5,1996
Last Dance,Drama,3.0,1996
Cold Comfort Farm,Comedy,3.5,1995
Heaven's Prisoners,Crime,3.33,1996
"Rock, The",Action,3.64,1996
Cemetery Man (Dellamorte Dellamore),Horror,3.93,1994
Twister,Action,3.32,1996
Barb Wire,Action,2.65,1996
Ghost in the Shell (Kôkaku kidôtai),Animation,4.15,1995
Thinner,Horror,2.82,1996
Spy Hard,Comedy,2.52,1996
Wallace & Gromit: A Close Shave,Animation,3.9,1995
"Stupids, The",Comedy,3.33,1996
"Arrival, The",Action,3.11,1996
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,4.27,1964
Ashes of Time (Dung che sai duk),Drama,4.0,1994
Maya Lin: A Strong Clear Vision,Documentary,3.5,1994
Stalingrad,Drama,4.25,1993
"Phantom, The",Action,2.79,1996
Striptease,Comedy,2.41,1996
Heavy,Drama,3.5,1995
Jack,Comedy,3.16,1996
I Shot Andy Warhol,Drama,3.5,1996
Touki Bouki,Drama,3.5,1973
Spirits of the Dead,Horror,3.0,1968
Trainspotting,Comedy,4.04,1996
'Til There Was You,Drama,4.0,1997
Independence Day (a.k.a. ID4),Action,3.45,1996
Stealing Beauty,Drama,3.5,1996
"Fan, The",Drama,3.0,1996
"Hunchback of Notre Dame, The",Animation,3.33,1996
"Cable Guy, The",Comedy,2.81,1996
Kingpin,Comedy,3.37,1996
Eraser,Action,3.11,1996
"Nutty Professor, The",Comedy,2.73,1996
"Unforgettable Summer, An (Un été inoubliable)",Drama,2.0,1994
"Last Klezmer: Leopold Kozlowski, His Life and Music, The",Documentary,4.0,1994
Somebody to Love,Drama,3.5,1994
Daylight,Action,2.71,1996
"Frighteners, The",Comedy,3.46,1996
Lone Star,Drama,4.16,1996
Harriet the Spy,Children,3.14,1996
Phenomenon,Drama,3.34,1996
Walking and Talking,Comedy,4.0,1996
She's the One,Comedy,3.25,1996
"Time to Kill, A",Drama,3.66,1996
American Buffalo,Crime,1.5,1996
Alaska,Adventure,3.5,1996
Fled,Action,2.33,1996
Kazaam,Children,2.25,1996
Larger Than Life,Comedy,2.8,1996
"Very Brady Sequel, A",Comedy,3.25,1996
"Collector, The (La collectionneuse)",Drama,3.5,1967
Kaspar Hauser,Drama,4.0,1993
"Adventures of Pinocchio, The",Adventure,3.33,1996
Joe's Apartment,Comedy,2.67,1996
"First Wives Club, The",Comedy,3.07,1996
Ransom,Crime,3.34,1996
High School High,Comedy,2.0,1996
Foxfire,Drama,3.67,1996
Chain Reaction,Action,2.88,1996
Matilda,Children,3.27,1996
Emma,Comedy,3.92,1996
"Crow: City of Angels, The",Action,2.83,1996
House Arrest,Children,3.38,1996
"Eyes Without a Face (Yeux sans visage, Les)",Horror,3.0,1959
Tales from the Crypt Presents: Bordello of Blood,Comedy,2.54,1996
"Spitfire Grill, The",Drama,3.29,1996
Escape from L.A.,Action,2.92,1996
Basquiat,Drama,2.83,1996
Tin Cup,Comedy,3.17,1996
"Godfather, The",Crime,4.29,1972
